question,answer
Does my net paycheck decrease as the year goes on due to tax brackets filling up?,"Most countries with income tax, including the USA, design their withholding system so that in straightforward cases, tax is withheld from each month's paycheck on an annualized basis: tax for a month is calculated on the assumption that you will keep earning the same monthly amount for the rest of the year, and the withholding is set so that the tax is spread evenly across the year. Another way of putting that is that in practice you only get the tax brackets allocated proportionately throughout the year - so up till the end of August you'll only have been assigned 8/12 of the $37450 bracket, and so on. So if your income doesn't change and your general tax affairs don't change, your paycheck also shouldn't change. If your income is irregular or changes during the year then things can get more complicated. As other answers have noted, withholdings are calculated according to tables that normally just take into account that specific month's income. There are various possible changes to your tax affairs that might cause the withholdings to change. For example there'd be an impact from any change in your contributions to tax advantaged things like health insurance or retirement, health or education savings. You might also use form W-4 to change your withholdings yourself. Note that even with a regular income that doesn't change through the year, you might find yourself either owing money or being owed a refund when you file your taxes after the end of the year. It's worth making sure that your W-4 accurately records the allowances you are entitled to, to minimize or eliminate this adjustment."
Is inflation a good or bad thing? Why do governments want some inflation?,"The classic definition of inflation is ""too much money chasing too few goods.""  Within a tight range, say 1-3%, inflation is somewhat benign.  There's a nice inflation widget at The Inflation Calculator which helps me see that an item costing $1000 in 1975 would now (2010) be about $4000, and $1000 from 1984 till now, just over $2000. I chose those two years to make a point. First, I am 48, I graduated college in 1984, so in my working life I've seen the value of the dollar drop by half. On the other hand it only took 9 years from 75-84 to see a similar amount of inflation occur.  I'd suggest that the 26 year period is far more acceptable than the 9. Savers should be aware of their real return vs what was a result of inflation. I'm not incensed either way but logically have to acknowledge the invisible tax of inflation. I get a (say) 6% return, pay 2% in tax, but I'm not ahead by 4%, 3% may be lost to inflation. On the flip side, my mortgage is 3.5%, after taxes that's 2.625%, but less than 0% after (long term) inflation. So as a debtor, I am benefiting by the effect of inflation on what I owe.  Interesting also to hear about deflation as we've grown used to it in the case of electronics but little else. Perhaps the iPad won't drop in price, but every year it will gain features and competitors will keep the tablet market moving. Yet people still buy these items.  Right now, there's not enough spending. I'd suggest that, good financial advice aside, people as a whole need to start spending to get the economy moving. The return of some inflation would be a barometer of that spending starting to occur."
"What are the ramifications of lawsuits over ""breaches of fiduciary duty"" for the average shareholder?","Mostly these are results of arguments between shareholders. These suits come when shareholders alleged that directors didn't act in their best interests. Unless its a class action suit, I'd say there's no ramifications for an average shareholder."
What is the Average Yield on High-Grade Corporate Bonds as of Now?,Yahoo! Finance would list it as 3.30 for the 20 year corporate AAA bonds. This is using the criteria from the Wikipedia link you stated in the initial question.
How to negotiate when you have something to give back?,"NEVER combine the negotiations for trade-in of an old car and purchase of a new one (and/or financing), if you can avoid doing so. Dealers are very good at trading off one against the other to increase their total profit, and it's harder for you to walk away when you have to discard the whole thing. These are separate transactions, each of which can be done with other parties.  Treat them as such."
Does a company's stock price give any indication to or affect their revenue?,"If the company reported a loss at the previous quarter when the stock what at say $20/share, and now just before the company's next quarterly report, the stock trades around $10/share. There is a misunderstanding here, the company doesn't sell stock, they sell products (or services). Stock/share traded at equity market. Here is the illustration/chronology to give you better insight:   Now addressing the question What if the stock's price change? Let say, Its drop from $10 to $1 Is it affect XYZ revenue ? No why? because XYZ selling ads not their stocks the formula for revenue revenue = products (in this case: ads) * quantity the equation doesn't involve capital (stock's purchasing)"
Is it true that the price of diamonds is based on a monopoly?,"De Beers is the company most cited as the near monopoly. They used to own a massive chunk of the diamond supply and intentionally restricted that supply to increase the price. In recent decades, new sources of diamonds have reduced the De Beers' singular grip. They still have a large share though. Video about this from Adam Ruins Everything: https://www.youtube.com/watch?v=N5kWu1ifBGU it turns out this ancient tradition [of giving diamonds rings for engagements] was invented less than a century ago by the De Beers Diamond Corporation... in 1938, the De Beers Diamond cartel launched a massive ad campaign, claiming that the only way for a real man to show his love is with an expensive hunk of crystallized carbon, and we bought that shit. It continues The only reason diamonds are even expensive is that De Beers has a global monopoly on diamond mining and they artificially restrict the supply, to jack the prices up. Because of this artificial supply restriction, the resale value of diamonds are quite low."
Does the P/E ratio not apply to bond ETFs?,"The simple answer is technically bonds don't have earnings, hence no P/E. What I think the OP is really asking how do I compare stock and bond ETFs. Some mature stocks exhibit very similar characteristics to bonds, so at the margin if you are considering investing between 2 such investments that provide stable income in the form of dividends, you might want to use the dividend/price ratio (D/P) of the stock and compare it to the dividend yield of the bond. If you go down to the basics, both the bond and the stock can be considered  the present value of all future expected cashflows. The cash that accrues to the owner of the stock is future dividends and for the bond is the coupon payments. If a company were to pay out 100% of its earnings, then the dividend yield D/P would be conveniently E/P. For a company with P/E of 20 that paid out it's entire earnings, one would expect D/P = 1/20 = 5% This serves as a decent yard stick in the short term ~ 1 year to compare mature stock etfs with stable prospects vs bond funds since the former will have very little expected price growth (think utilities), hence they both compete on the cashflows they throw off to the investor. This comparison stops being useful for stock ETFs with higher growth prospects since expected future cashflows are much more volatile. This comparison is also not valid in the long term since bond ETFs are highly sensitive to the yield curve (interest rate risk) and they can move substantially from where they are now."
Is business the only way to become a millionaire?,"That's actually a pretty good way to get bankrupt quick. You can get rich quick through lottery, gambling, mere saving or investing wisely, or marrying someone from the Kennedy or Bush clans. Starting a business is one of the ways to become a millionaire, but definitely not the only one."
Buying a multi-family home to rent part and live in the rest,"Others have already made good points, so I'll just add a few more: You say that if you bought it, your mortgage, insurance, and taxes minus the rental income from the bottom floor would leave you with costs of 1/4 of your current rent. That means you're getting a fantastic deal on the purchase price. I suspect you may be underestimating some of those costs. So, get exact figures on the mortgage, insurance and taxes and do the math. If it is that good, go for it, just make sure to get that home inspection (in case there's major problems and they're trying to get out while the gettin's good) Also, some advice: Be prepared to cover that entire monthly cost for a few months. Units can stand empty for a while. Also, you may want to rent out slowly - a good tenent found after a couple months is much better than a bad tenent found quickly. Also, have some money set aside for maintenence. As a renter, you've never really had to think about that before, but as a homeowner you do. As a landlord, it's even more important - you can not fix something in your own home for a while if you needed to wait, but in a tenent unit, you have to fix it immediately.  Finally, taxes: You do get to deduct interest, and so on, but it'll work a little differently than you think. You'll have to split it in half (if the units are the same size) and deduct half the interest as a normal homeowner deduction, the other half as a business expense. Same for PMI, insurance, and property taxes. If you do maintenance that effects both units, like fixing the roof, half will be deductible, the other half not. However, maintenance that only affects the tenant unit is fully deductible.  You can claim depreciation, but only for half. So, your starting amount you can depreciate would be (purchase price - land value)/2. Same thing here - half is your home, the other half is a business.  Note that some things you'd think of as maintenance costs actually can't be deducted, only depreciated over time. Take that leaky roof, for example. If you replaced it instead of repairing it, you could not deduct your replacement costs. It counts as an improvement, and gets added to your cost-basis, where you depreciate it along with (half!) the house.  If your tenant's refrigerator went out, and you replaced it, you couldn't deduct that either. However you can depreciate all of it on another schedule (seperate from home depreciation). If you repaired it instead, you can deduct all of it immediately.  Taxes suck."
Does revenue equal gross profit for info product business?,What about web-hosting fees? Cost of Internet service? Cost of computer equipment to do the work? Amortized cost of development? Time for support calls/email? Phone service used for sales? Advertising/marketing expenses? Look hard--I bet there are some costs.
Is it common for a new car of about $16k to be worth only $4-6k after three years?,"It depends completely on the car.  Some cars retain their value much better, and others drop in value like a rock (no pun intended).  The mileage and condition on a car also has a huge impact on value.   According to this site, cars on average lose 46% of their value in three years, so seeing one that drops 62% in roughly 3 years does not seem impossible. That value could also have been trade-in value, which is significantly lower than what you could get with a private party sale (or what you'd pay to get that same car from a dealer) One example: a new Ford Taurus (lowest model) has a Kelly Blue Book value of $28,000.  A 2014 Taurus (lowest model) with average mileage and in fair condition has a private party value of about $12,000, for a 57% drop in value. Note: I picked Taurus because it's a car that should not have exceptional resale value (unlike BMW, trucks, SUVs), not to make any kind of judgement of the quality or resellability of the car)"
Why do people always talk about stocks that pay high dividends?,"Dividends are one way to discriminate between companies to invest in. In the best of all worlds, your investment criteria is simple: ""invest in whatever makes me the most money on the timeline I want to have it.""  If you just follow that one golden rule, your future financial needs will be taken care of! Oh... you're not 100% proof positive certain which investment is best for you?  Good.  You're mortal.  None of us magically know the best investment for us.  We wing it, based on what information we can glean.  For instance, we know that bonds tend to be ""safer"" than stocks, but with a lower return, so if something calls itself a bond, we treat it differently than we treat a stock. So what sorts of information do we have?  Well, think of the stock market linguistically.  A dividend is one way for a company to communicate with their stockholders in the best way possible: their pocketbooks.  There's some generally agreed upon behaviors dividends have (such as they don't go down without some good reason for it, like a global recession or a plan to acquire another company that is well-accepted by the stockholders).  If a company starts to talk in this language, people expect them to behave a certain way.  If they don't, the stock gets blacklisted fast.  A dividend itself isn't a big deal, but a dividend which isn't shunned by a lot of smart investors... that can be a big deal. A dividend is a ""promise"" (which can be broken, of course) to cash out some of the company's profits to its shareholders.  Its probably one of the older tools out there (""you give investors a share of the profits"" is pretty tried and true).  It worked for many types of companies.  If you see a dividend, especially one which has been reliable for many years, you can presume something about the type of company they are. Other companies find dividend is a poor tool to accomplish their goals.  That doesn't mean they're better or worse, simply different.  They're approaching the problem differently.  Is that kind of different the kind you want in your books?  Maybe.  Companies which aren't choosing to commit a portion of their profits to shareholders are typically playing a more aggressive game.  Are you comfortable that you can keep up with how they're using your money and make sure its in your interests?  It can be harder in these companies where you simply hold a piece of paper and never get anything from them again."
How does shorting ETFs work? What are the costs and tax implications?,"No, the expense ratio would be something you wouldn't be charged. If you bought shares of the ETF long, then the dividends are usually reduced by the expense ratio if you wanted to know where to find that charge in general. You would have to make up for any dividends the underlying stocks as part of general shorting since the idea is that once you buy to put back the shares, it has to appear as if they weren't missing in the first place. No, the authorized participant would handle changes to the underlying structure if needed."
Can a custodian refuse prior-year IRA/HSA deposit postmarked April 15?,"I had a situation like this also. A client deposited an IRA check to his local P.O. prior to collection p/up, thinking this meant it would be postmarked April 15. It may have been picked up, but wasn't postmarked until the next day, and my firm refused to consider it as timely. I do remember discussing it w/my Retirement Services Dept. Maybe they made an exception for me and my client, but maybe not. I don't remember. Good luck."
"What's are the differences between ""defined contribution"" and ""defined benefit"" pension plans?","Defined Benefit Plans: Defined benefit plans are disappearing because of their high cost to the companies that provide them.  When an employee retires, the company must pay his pension for the rest of his life, even longer if the pension includes a survivor option.  Thus the company's financial burden grows as more employees retire.   By law, they must provide a fund that has sufficient resources to pay all present and future pensions.  Low interest rates, such as we have now, place a greater burden on the amount that must be in these funds.   For these reasons, most companies, including large ones like IBM and Lockheed Martin, have discontinued their pension plans and provide only defined contribution plans.   Defined Contribution Plans: These require the company to only make contributions while the employee is working.  Once the employee retires, the company's responsibility ends.  Usually these plans employ a 401K type savings plan for which the employee contributes and the companies matches some or all of that contribution.  Comparison: Although a fully company paid pension plan is the best, it is now almost unavailable.  The defined contribution plan, if it includes company matching, can be a viable alternative if the investments are chosen wisely and perform as expected.  Of course, this is not guaranteed but is probably the best option that most working people have at this time."
To sell or to rent the house?,"So either scenario has about $10K upfront costs (either realtor/selling expenses or fixing up for rental). Furthermore, I'm sure that the buyers would want you to fix all these things anyway, or reduce the price accordingly, but let's ignore this. Let's also ignore the remaining mortgage, since it looks like you can comfortably pay it off. Assuming 10% property management and 10% average vacancy (check your market), and rental price at $1000 - you end up with these numbers: I took very conservative estimates both on the rent (lower than you expect) and the maintenance expense (although on average over the years ,since you need to have some reserves, this is probably quite reasonable). You end up with 2.7% ROI, which is not a lot for a rental. The rule of thumb your wife mentioned (1% of cash equity) is indeed usually for ROI of leveraged rental purchase. However, if rental prices in your area are rising, as it sounds like they are, you may end up there quite soon anyway. The downside is that the money is locked in. If you're confident in your ability to rent and are not loosing the tax benefit of selling since it sounds like you've not appreciated, you may take out some cash through a cash-out refi. To keep cash-flow near-0, you need to cash out so that the payments would be at or less than the $3200/year (i.e.: $266/month). That would make about $50K at 30/yr fixed 5% loan. What's best is up to you to decide, of course. Check whether ""you can always sell"" holds for you. I.e.: how stable is the market, what happens if one or two large employers disappear, etc."
What's the difference between Market Cap and NAV?,"NAV is  how much is the stuff of the company worth divided by the number of shares. This total is also called book value. The market cap is share price times number of shares. For Amazon  today people are willing to pay 290 a share for a company with a NAV of 22 a share. If of nav and price were equal the P/B (price to book ratio) would be 1, but for Amazon it is 13.  Why? Because investors believe Amazon is worth a lot more than a money losing company with a NAV of 22."
Options strategy - When stocks go opposite of your purchase?,"I cannot believe noone mentioned this so far: Every decision you make is independent from previous decisions (that is, if you only care about your expected gain). This means that your decision whether to buy the option should be the same whether you bought the same option before or not."
How to deal with IRS response of no action to 83(b) election?,"I think you should consult a professional with experience in 83(b) election and dealing with the problems associated with that. The cost of the mistake can be huge, and you better make sure everything is done properly. For starters, I would look at the copy of the letter you sent to verify that you didn't write the year wrong. I know you checked it twice, but check again. Tax advisers can call a dedicated IRS help line for practitioners where someone may be able to provide more information (with your power of attorney on file), and they can also request the copy of the original letter you've sent to verify it is correct. In any case, you must attach the copy of the letter you sent to your 2014 tax return (as this is a requirement for the election to be valid)."
"Why real estate investments are compared via ""cap rate""?",Cap Rate is the yearly return NOT including your mortgage. Everyone will finance the property differently.  From 0% - 100% down. This is why Cap Rate is the best way to compare properties.  Once you include your finance it is then called Cash-On Cash Return (CCR).
Is it a wise decision to sell my ESPP stock based on this situation?,"Eric is right regarding the tax, i.e. ordinary income on discount, cap gain treatment on profit whether long term or short.  I would not let the tax tail wag the investing dog. If you would be a holder of the stock, hold on, if not, sell. You are considering a 10-15% delta on the profit to make the decision.  Now. I hear you say your wife hasn't worked which potentially puts you in a lower bracket this year. I wrote Topping off your bracket with a Roth Conversion which would help your tax situation long term. Simply put, you convert enough Traditional IRA (or 401(k) money) to use up some of the current bracket you are in, but not hit the next. This may not apply to you, depending on whether you have retirement funds to do this. Note - The cited article offers numbers for a single person, but illustrates the concept. See the tax table for the marginal rates that would apply to you."
How much will a stock be worth after a merger?,"It depends.  If you accept the offer, then your stock will cease existing.  If you reject the offer, then you will become a minority shareholder.  Depending on the circumstances, you could be in the case where it becomes illegal to trade your shares.  That can happen if the firm ceases to be a public company.  In that case, you would discount the cash flows of future dividends to determine worth because there would be no market for it. If the firm remained public and also was listed for trading, then you could sell your shares although the terms and conditions in the market would depend on how the controlling firm managed the original firm."
why if change manufacturing of a product not change the price for the buyer? ,"In highly developed and competitive industries companies tread a continuous and very fine line between maximising shareholder profits by keeping prices up while making products as cheaply as possible, vs competitors lowering prices when they work out a way to make equivalents cheaper. In the short run you will quite often see companies hold onto large portions of efficiency savings (particularly if they make a major breakthrough in a specific manufacturing process etc) by holding old prices up, but in the long run competition pretty quickly lowers prices as the companies trying to keep high margins and prices get ruthlessly undercut by smaller competitors happy to make a bit less."
How long should I keep an uncleared transaction in my checkbook?,"Typically I'll carry the charge for quite awhile, up to a year.  If it hasn't cleared by then, I contact the institution that should have received the money to see what they want to do about it.  If they tell me not to worry about it, then I change the payee to be ""Overdraft Protection"", and consider it as having been spent.  That way I build up (slowly) a cushion in my checking account."
How can one protect oneself from a dividend stock with decreasing price?,"If by saying you wish to invest ""for the long term 5-10 years"" I take it you mean to hold a stock for between 5-10 years. If this is the case, this is the fundamental flaw in your screening algorithm. No company stock price continues to go up without end for 5-10 years. The price of every company's stock goes down at some point. You have to decide on a company by company basis whether you want to ride out the downturn or sell and get out. This is a personal decision based on your own research. The list of screening criteria you list indicates you are looking for solid earnings companies. Try not to apply these rules rigidly because every company runs through a rough patch. At times past, GE (for example) met all of your criteria. However, in 2017, it would not and therefore would not meet your screening criteria. Would you sell GE if you owned it? Maybe, or maybe you would hold through the downturn. The same be said for MSFT in 2010 or AAPL pre-Jobs return. A rule you may want to add to your list: know the company business well; that is, don't invest in companies you have no understanding of their business model."
Does the IRS give some help or leniency to first-time taxpayers?,"There's no such thing as ""leniency"" when enforcing the law. Not knowing the law, as you have probably heard, is not a valid legal defence. Tax law is a law like any other. That said, some penalties and fines can be abated if the error was done in good faith and due to a reasonable cause. First time penalties can be abated in many cases assuming you're compliant otherwise (for example - first time late filing penalty can be abated if you're compliant in the last 5 years. Not many people know about that.). Examples for a reasonable cause (from the IRS IRM 20.1.1): Reliance on the advice of a tax advisor generally relates to the   reasonable cause exception in IRC 6664(c) for the accuracy-related   penalty under IRC 6662. See IRM 20.1.5, Return Related Penalties, and If the taxpayer does not meet the criteria for penalty relief under   IRC 6404(f), the taxpayer may qualify for other penalty relief. For   instance, taxpayers who fail to meet all of the IRC 6404(f) criteria   may still qualify for relief under reasonable cause if the IRS   determines that the taxpayer exercised ordinary business care and   prudence in relying on the IRS’s written advice. IRM 20.1.1.3.2.2.5 -   Erroneous Advice or Reliance.   Treas. Reg. 1.6664–4(c). There are more. IRM is the ""Internal Revenue Manual"" - the book of policies for the IRS agents.  Of course, you should seek a professional advice when you're non-compliant and want to ask for abatement and become compliant again. Talk to a CPA/EA licensed in your state."
How to share income after marriage and kids?,"The bottom line is choosing the right partner. If your partner works as hard as you do, than everything should be split, irregardless of who makes more. Unfortunately, my bf, now by separated husband, borrowed money from me before we were married. I saw a lack of work ethic in him from the beginning, loved him anyway and married him but decided to keep my money separate as a result. This was a beginning with lack of trust and knowing I would be the higher earner, harder worker, and better provider. Down the road he won a lawsuit and got about $700k. I saw about $25k of this money to pay bills created with the intention of him paying them off when he got the money, and because he pilfered it away, we lost our house and it ended in my leaving.... I'm still doing ok because I work hard for what I have. He is struggling. We were never on the same page, never discussed finances because of his lack of work ethic and my mistrust of how he would decide how the money would be used. Sadly, who you decide to be your partner is the most important decision here...It should be based on mutual respect, both working hard to achieve a common goal, and communicating the budget every year, perhaps even each month.... I'm the terrible example."
Avoiding Capital Gains Long Term,"It's correct.   Be sure of your personal opportunity cost and not that you're letting the tax tail wag the dog just to score ""tax free"".  Your upside is $3,700 (single) or $7,000 (married) in taxes saved until you're out of the 0% zone.  Is that worth not receiving an income? Even if your savings are such that you don't need to work for income for a fiscal year, how would this affect the rest of your career and lifetime total earning prospects?  Now, maybe: Otherwise, I'd hope you have solid contacts in your network who won't be fazed by a resume gap and be delighted to have a position open for you in 2019 (and won't give you the ""mother returning to the workforce"" treatment in salary negotiations)."
Why is tax loss harvesting helpful for passive investing?,"I wrote a detailed article on Tax Loss Harvesting to show the impact on returns.  For my example, I showed a person in the 15% bracket. In years with no loss, they trade to capture gains at 0% long term rate, thus bumping their basis up. In years with losses, they tax harvest for a 15% effective 'rebate' on that loss.  I showed how for the lost decade 2000-2009, a buy and hold would have returned -1% CAGR, but the tax loss harvester would have gained 1% (just 1% for the decade, not CAGR), ending the decade with no loss.  As one's portfolio grows, the math changes. You can only take $3000 capital loss against ordinary income, and my example relies on the difference between taking a gain for free but using a loss to offset income. Note, the higher earner would take gains at 15%, but losses at 25%, but only for the relatively small portfolio. The benefit for them is to use loss harvesting to offset gains, less so for ordinary income.  As the other answer state, Wealthfront can aid you to do this with no math on your part."
How do I get a list of the top performing funds between two given dates?,"The closest I can think of from the back of my head is http://finviz.com/map.ashx, which display a nice map and allows for different intervals. It has different scopes (S&P500, ETFs, World), but does not allow for specific date ranges, though."
What things should I consider when getting a joint-mortgage?,"The first and most important thing to consider is that this is a BUSINESS TRANSACTION, and needs to be treated as such. Nail down Absolutely All The Details, specifically including what happens if either of you decides it's time to move and wants to sell off your share of the property. Get at least one lawyer involved in drawing up that contract, perhaps two so there's no risk of conflict of interest. What's your recourse, or his, if the other stops making their share of the payments? Who's responsible for repairs and upkeep? If you make renovations, how does that affect the ownership percentage, and what kind of approval do you need from him first, and how do you get it, and how quickly does he have to respond? If he wants to do something to maintain his investment, such as reroofing, how does he negotiate that with you -- especially if it's something that requires access to the inside of the house? Who is the insurance paid by, or will each of you be insuring it separately? What are the tax implications? Consider EVERY possible outcome; the fact that you're friends now doesn't matter, and in fact arguments over money are one of the classic things that kill friendships. I'd be careful making this deal with a relative (though in fact I did loan my brother a sizable chunk of change to help him bridge between his old house and new house, and that's registered as a mortgage to formalize it). I'd insist on formalizing who owns what even with a spouse, since marriages don't always last. With someone who's just a co-worker and casual friend, it's business and only business, and needs to be both evaluated and contracted as such to protect both of you. If you can't make an agreement that you'd be reasonably comfortable signing with a stranger, think long and hard about whether you want to sign it at all. I'll also point out that nobody is completely safe from long-term unemployment. The odds may be low, but people do get blindsided. The wave of foreclosures during and after the recent depression is direct evidence of that."
Are there any other considerations for bonus sacrifice into Pension (UK),"The pension is indeed the clear winner and you haven't missed anything. It's easiest to just compare everything in current numbers as you've done and ignore investment opportunities. Given you expect to pay off your student loan in full, you should consider the repayment as a benefit for you too, so the balance is between £580 after tax and £1138 in your pension. As you say under the current tax regime you'd probably end up with £968 in your pocket from the pension. Some harder to value considerations: You might consider there's political risk associated with the pension, as laws may change over the years - but the government has so far not shown any inclination to penalise people who have already saved under one set of assumptions, so hopefully it's reasonably safe (I'm certainly taking that view with my own money!) Paying more towards your student loan or your mortgage is equivalent to investing at that interest rate (guaranteed). If you do the typical thing of investing your pension in the stock market, the investment returns are likely higher but more risky. In today's interest rate environment, you'd struggle to get a ""safe"" return that's anywhere near the mortgage rate. So if you're very risk averse, that would tilt the balance against the pension, but I doubt it would be enough to change the decision. Your pension might eventually hit the lifetime allowance of £1mn, after contributions and investment growth. If that's a possibility, you should think carefully about the plan for your contributions. If you do go over, the penalties are calibrated to cancel out the difference between higher-rate and basic-rate tax - i.e. cancelling out the tax benefits you outlined, but not the national insurance benefits. But if you do go over, the amount of money you'd have mean that you might also find yourself paying higher-rate tax on some of your pension income, at which point you could lose out. The lifetime allowance is really complicated, there's a Q+A about it here if you want to understand more."
"How to Buy ""Exotic"" Bonds as a Low Net Worth Individual?","There are discount brokers which charge lower fees, which ones are accessible to you will depend on your country. Here's a list for the USA: https://the-international-investor.com/comparison-tables/online-discount-stock-brokers-comparison-table But seriously, as a ""low net worth individual"", the last thing you should be doing is gamble away that money - and that's what buying junk bonds is: gambling, not investing. They're called ""junk bonds"" for a reason, namely that the well-considered opinion of most investors is that there is a high probability of the issuer defaulting on them, which means that the invested money is lost."
Using Marine Traffic (AIS) to make stock picks?,"Since you seem determined to consider this, I'd like to break down for you why I believe it is an incredibly risky proposition: 1) In general, picking individual stocks is risky. Individual stocks are by their nature not diversified assets, and a single company-wide calamity (a la Volkswagen emissions, etc.) can create huge distress to your investments. The way to mitigate this risk is of course to diversify (invest in other types of assets, such as other stocks, index funds, bonds, etc.). However, you must accept that this first step does have risks.  2) Picking stocks on the basis of financial information (called 'fundamental analysis') requires a very large amount of research and time dedication. It is one of the two main schools of thought in equity investing (as opposed to 'technical analysis', which pulls information directly from stock markets, such as price volatility). This is something that professional investors do for a living - and that means that they have an edge you do not have, unless you dedicate similar resources to this task. That information imbalance between you and professional traders creates additional risk where you make determinations 'against the grain'.  3) Any specific piece of public information (and this is public information, regardless of how esoteric it is) may be considered to be already 'factored into' public stock prices. I am a believer in market efficiency first and foremost. That means I believe that anything publically known related to a corporation ['OPEC just lowered their oil production! Exxon will be able to increase their prices!'] has already been considered by the professional traders currently buying and selling in the market. For your 'new' information to be valuable, it would need to have the ability to forecast earnings in a way not already considered by others. 4) I doubt you will be able to find the true nature of the commercial impact of a particular event, simply by knowing ship locations. So what if you know Alcoa is shipping Aluminium to Cuba - is this one of 5 shipments already known to the public? Is this replacement supplies that are covering a loss due to damaged goods previously sent? Is the boat only 1/3 full? Where this information gets valuable, is when it gets to the level of corporate espionage. Yes, if you had ship manifests showing tons of aluminum being sold, and if this was a massive 'secret' shipment about to be announced at the next shareholders' meeting, you could (illegally) profit from that information. 5) The more massive the company, the less important any single transaction is. That means the super freighters you may see transporting raw commodities could have dozens of such ships out at any given time, not to mention news of new mine openings and closures, price changes, volume reports, etc. etc. So the most valuable information would be smaller companies, where a single shipment might cover a month of revenue - but such a small company is (a) less likely to be public [meaning you couldn't buy shares in the company and profit off of the information]; and (b) less likely to be found by you in the giant sea of ship information. In summary, while you may have found some information that provides insight into a company's operations, you have not shown that this information is significant and also unknown to the market. Not to mention the risks associated with picking individual stocks in the first place. In this case, it is my opinion that you are taking on additional risk not adequately compensated by additional reward."
Full-time work + running small side business: Best business structure for taxes?,"You should look into an LLC.  Its a fairly simple process, and the income simply flows through to your individual return.  It will allow you to deduct supplies and other expenses from that income.  It should also protect you if someone sues you for doing shoddy work (even if the work was fine), although you would need to consult a lawyer to be sure. For last year, it sounds like your taxes were done wrong.  There are very, very few ways that you can end up adding more income and earning less after taxes. I'm tempted to say none, but our tax laws are so complex that I'm sure you can do it somehow."
"How can small children contribute to the ""family economy""?","If you're trying to teach them the value of money and quantifying the dollar difference between prices, one very effective way to do this is by using bar charts. For instance, if a toy is $5, and movie they really want to see is $10, and a vacation they want to go on costs $2000, it can be a useful tool to help explain how the relative costs work."
How can I get free or discounted checks for my bank account?,"Although not required, #2 would work best if you used magnetic ink... That is an extra cost which you may or may not want to pay for. You can often get a free checking account and a free set of checks if you can meet the minimum requirements. This often means a higher average daily balance, direct deposit, or some combination of multiple requirements. The bank is taking a risk that a client meeting those minimum requirements while likely earn the bank more in fees and services than what they give out for ""free"" such as the account and checks. My wife and I opened a Wells Fargo checking account two years ago. Back then, we were able to open the account for free along with a free set of 250 checks. I think the requirement now requires $7,500 average daily balance."
Can I place a stock limit order to buy above the current price? Can I place a stock limit order to sell below the current price?,"You are better off just placing a market order if you want to buy or sell straight away and avoid the queues. A market order will guarantee the purchase or sale of your shares, but it won't guarantee the price."
"Stock stopped trading, what does this mean?","You have not lost value. It is just that the shares you owned, are now not tradable on US stock exchanges. You still have the value of your shares protected. In cases like de-listing of a stock, typically a trust (may be managed by a bank) is setup to help customers liquidate their stocks. You should try to search the relevant SEC filings for de-listing of this stock to get more details on whom to contact."
Dad paid cash for house and we want to put it in my name,"If your parents are not on the deed then I am not sure how it could be their house. It seems like the sale was done unofficially. If your parents or aunt pass away this could be a real mess. Make this official ASAP. It might be possible for your aunt to gift you the house. This may have tax implication but the article below suggests that it may not be an issue. http://www.bankrate.com/finance/real-estate/aunt-be-taxed-for-bargain-price-on-house.aspx As you're probably aware, owning a house is expensive. Make sure you can afford taxes, bills, and maintenance. Things add up fast.  I should have address the ""rent to own"" plan. If you plan on transferring the house from your aunt to you by renting with $0 monthly payment and then claiming it is all paid off, then I think this would be considered a gifting of the house from your aunt to you. It sounds like fraud to claim you paid something that you didn't. In the end, it is either a gift from your parents or from your aunt. The sooner you get the house in your name the better"
Valuing a small business to invest in ,"It should be pretty obvious that without knowing what sort of assets the company owns, and what sort of net earnings are being generated it's impossible to say what a $20k equity investment should get you in terms of ownership percentage.   With that said, you want to look at a few to several years of books, look for trends.  Some things to understand that might be subtle red flags: It's extremely common for early stage investors to essentially make loans rather than strictly buying shares.  In the worst case scenario creditors get to participate in liquidation proceedings before shareholders do.  You may be better off investing in this business via a loan that's convertible to equity at your discretion.   Single owner service companies are difficult because all of the net earnings go to the proprietor and that person maintains all of the relationships.  So taking something like 5 years of net earnings as the value of the company doesn't make much sense because you (or someone else) couldn't just step in and replace the owner.  Granted, you aren't contemplating taking over the business, but it negates using an X years of net earnings valuation method.  When you read about valuation there is a sort of overriding assumption that no single person could topple the operation which couldn't be farther from the truth in single employee service companies.  Additionally, understand that your investment in a single owner company hinges completely on one person's ability and willingness to work. It's really vital to understand the purpose of the funds.  Someone will be hired?  $20,000 couldn't be even six months of wages... Put things in to perspective with a pad, pen and calculator.  Don't invest in the pipe dream of a friend of yours, and DEFINITELY don't hand this person the downpayment for their new house.  The first rule of investing is ""don't lose money,"" this isn't emotional, this is a dollars and cents pragmatic process. Why does the business need this money?  How will you be paid back?   Personally, I think it would be more gratifying to put $20k in a blender and watch it blend, this is probably a horrible investment.  The risk should just be left to credit card companies."
What happened when the dot com bubble burst?,"Two big things: In many ways, the early internet people were correct -- in 2011 we are much more productive as a society than we were in 1991. (Which comes with downsides, such as high unemployment) The bubble was a result of over-estimating those improvements and under-estimating the time required to yield those productivity gains."
